role,lifecycle:transition,event,completeTime,case:REG_DATE,case,case:AMOUNT_REQ
10862,COMPLETE,O_SELECTED,2011-10-01 11:45:09,2011-10-01 00:38:44.546000+02:00,173688,20000
10862,COMPLETE,O_CREATED,2011-10-01 11:45:11,2011-10-01 00:38:44.546000+02:00,173688,20000
10862,COMPLETE,O_SENT,2011-10-01 11:45:11,2011-10-01 00:38:44.546000+02:00,173688,20000
11049,COMPLETE,O_SENT_BACK,2011-10-10 11:33:03,2011-10-01 00:38:44.546000+02:00,173688,20000
10629,COMPLETE,O_ACCEPTED,2011-10-13 10:37:29,2011-10-01 00:38:44.546000+02:00,173688,20000
10862,COMPLETE,O_SELECTED,2011-10-01 14:35:46,2011-10-01 08:08:58.256000+02:00,173691,5000
10862,COMPLETE,O_CREATED,2011-10-01 14:35:47,2011-10-01 08:08:58.256000+02:00,173691,5000
10862,COMPLETE,O_SENT,2011-10-01 14:35:47,2011-10-01 08:08:58.256000+02:00,173691,5000
11120,COMPLETE,O_SELECTED,2011-10-03 16:56:17,2011-10-01 08:08:58.256000+02:00,173691,5000
11120,COMPLETE,O_CANCELLED,2011-10-03 16:56:17,2011-10-01 08:08:58.256000+02:00,173691,5000
11120,COMPLETE,O_CREATED,2011-10-03 16:56:19,2011-10-01 08:08:58.256000+02:00,173691,5000
11120,COMPLETE,O_SENT,2011-10-03 16:56:19,2011-10-01 08:08:58.256000+02:00,173691,5000
11049,COMPLETE,O_SENT_BACK,2011-10-10 10:14:43,2011-10-01 08:08:58.256000+02:00,173691,5000
10809,COMPLETE,O_ACCEPTED,2011-10-10 14:17:26,2011-10-01 08:08:58.256000+02:00,173691,5000
11201,COMPLETE,O_SELECTED,2011-10-03 13:40:14,2011-10-01 08:10:30.287000+02:00,173694,7000
11201,COMPLETE,O_CREATED,2011-10-03 13:40:15,2011-10-01 08:10:30.287000+02:00,173694,7000
11201,COMPLETE,O_SENT,2011-10-03 13:40:15,2011-10-01 08:10:30.287000+02:00,173694,7000
11201,COMPLETE,O_SELECTED,2011-10-03 13:44:17,2011-10-01 08:10:30.287000+02:00,173694,7000
11201,COMPLETE,O_CANCELLED,2011-10-03 13:44:17,2011-10-01 08:10:30.287000+02:00,173694,7000
11201,COMPLETE,O_CREATED,2011-10-03 13:44:19,2011-10-01 08:10:30.287000+02:00,173694,7000
11201,COMPLETE,O_SENT,2011-10-03 13:44:19,2011-10-01 08:10:30.287000+02:00,173694,7000
10861,COMPLETE,O_SELECTED,2011-10-17 19:43:53,2011-10-01 08:10:30.287000+02:00,173694,7000
10861,COMPLETE,O_CANCELLED,2011-10-17 19:43:53,2011-10-01 08:10:30.287000+02:00,173694,7000
10861,COMPLETE,O_CREATED,2011-10-17 19:43:55,2011-10-01 08:10:30.287000+02:00,173694,7000
10861,COMPLETE,O_SENT,2011-10-17 19:43:55,2011-10-01 08:10:30.287000+02:00,173694,7000
11049,COMPLETE,O_SENT_BACK,2011-11-02 09:15:16,2011-10-01 08:10:30.287000+02:00,173694,7000
10609,COMPLETE,O_ACCEPTED,2011-11-04 16:04:52,2011-10-01 08:10:30.287000+02:00,173694,7000
10912,COMPLETE,O_SELECTED,2011-10-01 12:30:20,2011-10-01 09:59:10.501000+02:00,173715,45000
10912,COMPLETE,O_CREATED,2011-10-01 12:30:21,2011-10-01 09:59:10.501000+02:00,173715,45000
10912,COMPLETE,O_SENT,2011-10-01 12:30:21,2011-10-01 09:59:10.501000+02:00,173715,45000
10899,COMPLETE,O_SENT_BACK,2011-10-10 12:54:03,2011-10-01 09:59:10.501000+02:00,173715,45000
10138,COMPLETE,O_DECLINED,2011-10-13 11:05:24,2011-10-01 09:59:10.501000+02:00,173715,45000
10862,COMPLETE,O_SELECTED,2011-10-01 10:44:40,2011-10-01 10:37:39.362000+02:00,173718,15000
10862,COMPLETE,O_CREATED,2011-10-01 10:44:42,2011-10-01 10:37:39.362000+02:00,173718,15000
10862,COMPLETE,O_SENT,2011-10-01 10:44:42,2011-10-01 10:37:39.362000+02:00,173718,15000
10862,COMPLETE,O_SELECTED,2011-10-01 10:46:52,2011-10-01 10:37:39.362000+02:00,173718,15000
10862,COMPLETE,O_CANCELLED,2011-10-01 10:46:52,2011-10-01 10:37:39.362000+02:00,173718,15000
10862,COMPLETE,O_CREATED,2011-10-01 10:46:54,2011-10-01 10:37:39.362000+02:00,173718,15000
10862,COMPLETE,O_SENT,2011-10-01 10:46:54,2011-10-01 10:37:39.362000+02:00,173718,15000
11049,COMPLETE,O_SENT_BACK,2011-10-10 10:55:04,2011-10-01 10:37:39.362000+02:00,173718,15000
10972,COMPLETE,O_ACCEPTED,2011-10-27 09:17:53,2011-10-01 10:37:39.362000+02:00,173718,15000
10939,COMPLETE,O_SELECTED,2011-10-01 11:20:47,2011-10-01 11:07:34.279000+02:00,173721,9000
10939,COMPLETE,O_CREATED,2011-10-01 11:20:49,2011-10-01 11:07:34.279000+02:00,173721,9000
10939,COMPLETE,O_SENT,2011-10-01 11:20:49,2011-10-01 11:07:34.279000+02:00,173721,9000
11029,COMPLETE,O_SENT_BACK,2011-10-06 09:49:46,2011-10-01 11:07:34.279000+02:00,173721,9000
11009,COMPLETE,O_DECLINED,2011-10-10 16:28:25,2011-10-01 11:07:34.279000+02:00,173721,9000
11203,COMPLETE,O_SELECTED,2011-10-01 15:40:08,2011-10-01 12:36:08.943000+02:00,173730,15000
11203,COMPLETE,O_CREATED,2011-10-01 15:40:09,2011-10-01 12:36:08.943000+02:00,173730,15000
11203,COMPLETE,O_SENT,2011-10-01 15:40:10,2011-10-01 12:36:08.943000+02:00,173730,15000
11029,COMPLETE,O_SENT_BACK,2011-10-14 10:21:08,2011-10-01 12:36:08.943000+02:00,173730,15000
10972,COMPLETE,O_ACCEPTED,2011-10-21 09:08:14,2011-10-01 12:36:08.943000+02:00,173730,15000
11203,COMPLETE,O_SELECTED,2011-10-01 16:05:26,2011-10-01 13:01:58.813000+02:00,173736,15000
11203,COMPLETE,O_CREATED,2011-10-01 16:05:27,2011-10-01 13:01:58.813000+02:00,173736,15000
11203,COMPLETE,O_SENT,2011-10-01 16:05:27,2011-10-01 13:01:58.813000+02:00,173736,15000
10982,COMPLETE,O_SELECTED,2011-10-04 12:59:20,2011-10-01 13:01:58.813000+02:00,173736,15000
10982,COMPLETE,O_CANCELLED,2011-10-04 12:59:20,2011-10-01 13:01:58.813000+02:00,173736,15000
10982,COMPLETE,O_CREATED,2011-10-04 12:59:21,2011-10-01 13:01:58.813000+02:00,173736,15000
10982,COMPLETE,O_SENT,2011-10-04 12:59:21,2011-10-01 13:01:58.813000+02:00,173736,15000
10899,COMPLETE,O_SENT_BACK,2011-10-10 13:33:58,2011-10-01 13:01:58.813000+02:00,173736,15000
11169,COMPLETE,O_SELECTED,2011-10-13 11:36:52,2011-10-01 13:01:58.813000+02:00,173736,15000
11169,COMPLETE,O_CANCELLED,2011-10-13 11:36:52,2011-10-01 13:01:58.813000+02:00,173736,15000
11169,COMPLETE,O_CREATED,2011-10-13 11:36:53,2011-10-01 13:01:58.813000+02:00,173736,15000
11169,COMPLETE,O_SENT,2011-10-13 11:36:53,2011-10-01 13:01:58.813000+02:00,173736,15000
11029,COMPLETE,O_SENT_BACK,2011-10-18 10:20:36,2011-10-01 13:01:58.813000+02:00,173736,15000
10809,COMPLETE,O_ACCEPTED,2011-10-18 12:01:28,2011-10-01 13:01:58.813000+02:00,173736,15000
11000,COMPLETE,O_SELECTED,2011-10-01 15:56:39,2011-10-01 13:12:58.663000+02:00,173739,10000
11000,COMPLETE,O_CREATED,2011-10-01 15:56:40,2011-10-01 13:12:58.663000+02:00,173739,10000
11000,COMPLETE,O_SENT,2011-10-01 15:56:40,2011-10-01 13:12:58.663000+02:00,173739,10000
11029,COMPLETE,O_SENT_BACK,2011-10-11 10:19:12,2011-10-01 13:12:58.663000+02:00,173739,10000
10629,COMPLETE,O_ACCEPTED,2011-10-14 16:22:47,2011-10-01 13:12:58.663000+02:00,173739,10000
11111,COMPLETE,O_SELECTED,2011-10-01 15:58:41,2011-10-01 14:08:16.293000+02:00,173745,2000
11111,COMPLETE,O_CREATED,2011-10-01 15:58:44,2011-10-01 14:08:16.293000+02:00,173745,2000
11111,COMPLETE,O_SENT,2011-10-01 15:58:44,2011-10-01 14:08:16.293000+02:00,173745,2000
11000,COMPLETE,O_CANCELLED,2011-10-08 12:45:57,2011-10-01 14:08:16.293000+02:00,173745,2000
11119,COMPLETE,O_SELECTED,2011-10-01 16:36:44,2011-10-01 14:09:16.087000+02:00,173748,5000
11119,COMPLETE,O_CREATED,2011-10-01 16:37:32,2011-10-01 14:09:16.087000+02:00,173748,5000
11119,COMPLETE,O_SENT,2011-10-01 16:37:32,2011-10-01 14:09:16.087000+02:00,173748,5000
11119,COMPLETE,O_CANCELLED,2011-10-01 16:42:16,2011-10-01 14:09:16.087000+02:00,173748,5000
11119,COMPLETE,O_SELECTED,2011-10-01 16:42:16,2011-10-01 14:09:16.087000+02:00,173748,5000
11119,COMPLETE,O_CREATED,2011-10-01 16:42:17,2011-10-01 14:09:16.087000+02:00,173748,5000
11119,COMPLETE,O_SENT,2011-10-01 16:42:17,2011-10-01 14:09:16.087000+02:00,173748,5000
11001,COMPLETE,O_DECLINED,2011-10-03 16:44:19,2011-10-01 14:09:16.087000+02:00,173748,5000
11111,COMPLETE,O_SELECTED,2011-10-01 16:49:59,2011-10-01 14:14:39.442000+02:00,173751,10000
11111,COMPLETE,O_CREATED,2011-10-01 16:50:00,2011-10-01 14:14:39.442000+02:00,173751,10000
11111,COMPLETE,O_SENT,2011-10-01 16:50:01,2011-10-01 14:14:39.442000+02:00,173751,10000
10899,COMPLETE,O_SENT_BACK,2011-10-07 12:40:18,2011-10-01 14:14:39.442000+02:00,173751,10000
10138,COMPLETE,O_ACCEPTED,2011-10-11 10:39:30,2011-10-01 14:14:39.442000+02:00,173751,10000
11019,COMPLETE,O_SELECTED,2011-10-01 16:01:43,2011-10-01 15:15:17.454000+02:00,173760,32000
11019,COMPLETE,O_CREATED,2011-10-01 16:01:44,2011-10-01 15:15:17.454000+02:00,173760,32000
11019,COMPLETE,O_SENT,2011-10-01 16:01:44,2011-10-01 15:15:17.454000+02:00,173760,32000
11049,COMPLETE,O_SENT_BACK,2011-10-11 11:01:37,2011-10-01 15:15:17.454000+02:00,173760,32000
10972,COMPLETE,O_ACCEPTED,2011-10-14 15:41:03,2011-10-01 15:15:17.454000+02:00,173760,32000
11122,COMPLETE,O_SELECTED,2011-10-04 17:37:27,2011-10-01 19:05:56.897000+02:00,173784,5000
11122,COMPLETE,O_CREATED,2011-10-04 17:37:28,2011-10-01 19:05:56.897000+02:00,173784,5000
11122,COMPLETE,O_SENT,2011-10-04 17:37:28,2011-10-01 19:05:56.897000+02:00,173784,5000
11049,COMPLETE,O_SENT_BACK,2011-10-17 11:29:14,2011-10-01 19:05:56.897000+02:00,173784,5000
10609,COMPLETE,O_ACCEPTED,2011-11-15 12:50:28,2011-10-01 19:05:56.897000+02:00,173784,5000
11202,COMPLETE,O_SELECTED,2011-10-03 09:31:07,2011-10-01 19:06:01.646000+02:00,173787,5000
11202,COMPLETE,O_CREATED,2011-10-03 09:31:08,2011-10-01 19:06:01.646000+02:00,173787,5000
11202,COMPLETE,O_SENT,2011-10-03 09:31:08,2011-10-01 19:06:01.646000+02:00,173787,5000
11202,COMPLETE,O_CANCELLED,2011-10-03 09:36:43,2011-10-01 19:06:01.646000+02:00,173787,5000
11202,COMPLETE,O_SELECTED,2011-10-03 09:36:43,2011-10-01 19:06:01.646000+02:00,173787,5000
11202,COMPLETE,O_CREATED,2011-10-03 09:36:44,2011-10-01 19:06:01.646000+02:00,173787,5000
11202,COMPLETE,O_SENT,2011-10-03 09:36:44,2011-10-01 19:06:01.646000+02:00,173787,5000
11119,COMPLETE,O_CANCELLED,2011-10-19 18:51:53,2011-10-01 19:06:01.646000+02:00,173787,5000
11120,COMPLETE,O_SELECTED,2011-10-03 09:26:10,2011-10-01 19:14:15.425000+02:00,173790,5000
11120,COMPLETE,O_CREATED,2011-10-03 09:26:11,2011-10-01 19:14:15.425000+02:00,173790,5000
11120,COMPLETE,O_SENT,2011-10-03 09:26:11,2011-10-01 19:14:15.425000+02:00,173790,5000
10789,COMPLETE,O_SENT_BACK,2011-10-07 12:37:07,2011-10-01 19:14:15.425000+02:00,173790,5000
10609,COMPLETE,O_ACCEPTED,2011-10-10 14:22:35,2011-10-01 19:14:15.425000+02:00,173790,5000
11120,COMPLETE,O_SELECTED,2011-10-03 14:53:19,2011-10-01 19:32:46.330000+02:00,173793,6000
11120,COMPLETE,O_CREATED,2011-10-03 14:53:20,2011-10-01 19:32:46.330000+02:00,173793,6000
11120,COMPLETE,O_SENT,2011-10-03 14:53:20,2011-10-01 19:32:46.330000+02:00,173793,6000
11029,COMPLETE,O_SENT_BACK,2011-10-14 10:08:48,2011-10-01 19:32:46.330000+02:00,173793,6000
10609,COMPLETE,O_ACCEPTED,2011-10-18 11:25:03,2011-10-01 19:32:46.330000+02:00,173793,6000
11001,COMPLETE,O_SELECTED,2011-10-03 11:15:53,2011-10-01 20:19:11.828000+02:00,173796,15000
11001,COMPLETE,O_CREATED,2011-10-03 11:16:42,2011-10-01 20:19:11.828000+02:00,173796,15000
11001,COMPLETE,O_SENT,2011-10-03 11:16:42,2011-10-01 20:19:11.828000+02:00,173796,15000
11201,COMPLETE,O_CANCELLED,2011-10-10 17:23:53,2011-10-01 20:19:11.828000+02:00,173796,15000
11202,COMPLETE,O_SELECTED,2011-10-03 09:53:24,2011-10-01 21:07:54.696000+02:00,173805,5000
11202,COMPLETE,O_CREATED,2011-10-03 09:53:25,2011-10-01 21:07:54.696000+02:00,173805,5000
11202,COMPLETE,O_SENT,2011-10-03 09:53:25,2011-10-01 21:07:54.696000+02:00,173805,5000
112,COMPLETE,O_CANCELLED,2011-11-03 09:15:16,2011-10-01 21:07:54.696000+02:00,173805,5000
