,case,event,startTime,completeTime,creator,variant,variant-index,org:resource,role,Activity
0,Case1,Assign seriousness,2012/10/09 13:50:17.000,2012/10/09 13:50:17.000,Fluxicon Disco,Variant 12,12,Value 1,Value 1,Assign seriousness
1,Case1,Take in charge ticket,2012/10/09 13:51:01.000,2012/10/09 13:51:01.000,Fluxicon Disco,Variant 12,12,Value 1,Value 1,Take in charge ticket
2,Case1,Take in charge ticket,2012/10/12 14:02:56.000,2012/10/12 14:02:56.000,Fluxicon Disco,Variant 12,12,Value 2,Value 2,Take in charge ticket
3,Case1,Resolve ticket,2012/10/25 10:54:26.000,2012/10/25 10:54:26.000,Fluxicon Disco,Variant 12,12,Value 1,Value 1,Resolve ticket
4,Case1,Closed,2012/11/09 11:54:39.000,2012/11/09 11:54:39.000,Fluxicon Disco,Variant 12,12,Value 3,Value 3,Closed
5,Case2,Assign seriousness,2012/04/03 07:55:38.000,2012/04/03 07:55:38.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Assign seriousness
6,Case2,Take in charge ticket,2012/04/03 07:55:53.000,2012/04/03 07:55:53.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Take in charge ticket
7,Case2,Resolve ticket,2012/04/05 08:15:52.000,2012/04/05 08:15:52.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Resolve ticket
8,Case2,Closed,2012/05/19 08:00:28.000,2012/05/19 08:00:28.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
9,Case3,Assign seriousness,2010/10/29 09:14:06.000,2010/10/29 09:14:06.000,Fluxicon Disco,Variant 1,1,Value 6,Value 6,Assign seriousness
10,Case3,Take in charge ticket,2010/11/03 15:16:11.000,2010/11/03 15:16:11.000,Fluxicon Disco,Variant 1,1,Value 7,Value 7,Take in charge ticket
11,Case3,Resolve ticket,2010/11/03 15:21:17.000,2010/11/03 15:21:17.000,Fluxicon Disco,Variant 1,1,Value 7,Value 7,Resolve ticket
12,Case3,Closed,2010/11/30 10:20:18.000,2010/11/30 10:20:18.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
13,Case4,Assign seriousness,2010/12/15 13:31:53.000,2010/12/15 13:31:53.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Assign seriousness
14,Case4,Take in charge ticket,2010/12/16 07:01:07.000,2010/12/16 07:01:07.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
15,Case4,Resolve ticket,2010/12/16 07:08:19.000,2010/12/16 07:08:19.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
16,Case4,Closed,2011/02/12 13:40:42.000,2011/02/12 13:40:42.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
17,Case5,Assign seriousness,2012/04/03 12:08:32.000,2012/04/03 12:08:32.000,Fluxicon Disco,Variant 9,9,Value 9,Value 9,Assign seriousness
18,Case5,Take in charge ticket,2012/04/03 12:45:33.000,2012/04/03 12:45:33.000,Fluxicon Disco,Variant 9,9,Value 10,Value 10,Take in charge ticket
19,Case5,Resolve ticket,2012/04/03 12:47:22.000,2012/04/03 12:47:22.000,Fluxicon Disco,Variant 9,9,Value 10,Value 10,Resolve ticket
20,Case5,Take in charge ticket,2012/04/03 13:15:02.000,2012/04/03 13:15:02.000,Fluxicon Disco,Variant 9,9,Value 10,Value 10,Take in charge ticket
21,Case5,Resolve ticket,2012/04/03 15:07:28.000,2012/04/03 15:07:28.000,Fluxicon Disco,Variant 9,9,Value 10,Value 10,Resolve ticket
22,Case5,Closed,2012/05/25 12:10:28.000,2012/05/25 12:10:28.000,Fluxicon Disco,Variant 9,9,Value 5,Value 5,Closed
